dt, 1000.0
universe, Universe
G, 6.67E-11
Body Name, Earth
Initial Pos X, 1.392249254417041E8
Initial Pos Y, 5.364591584781469E7
Initial Pos Z, -2404.13046965003
,
time, x, y, z
999000.0,1.2533504405616076E8,8.007970095599425E7,-4382.655288373927
1999000.0,1.0639256655997387E8,1.0329284289777319E8,-4491.6017264498805
2999000.0,8.315429526850857E7,1.2231315175326036E8,-5604.5481628083
3999000.0,5.6507037707099E7,1.3634994200874296E8,-5275.791375854554
4999000.0,2.7542071427373588E7,1.4476548118890643E8,-4694.92300469731
5999000.0,-2557095.462246217,1.472200586675848E8,-4133.940394249333
6999000.0,-3.2562408860623E7,1.435659829269004E8,-1827.6367170073643
7999000.0,-6.120417811804678E7,1.339714611189491E8,-689.2227970479199
8999000.0,-8.733422749201897E7,1.1883708121991575E8,2467.749500826862
9999000.0,-1.098528662569511E8,9.879567360197677E7,4601.407630860184
1.0999E7,-1.2787992541754043E8,7.471923921602349E7,7369.828942140022
1.1999E7,-1.4070552141608337E8,4.758297066917483E7,10209.355845694914
1.2999E7,-1.4784876649541754E8,1.8540049231703218E7,11930.720280788453
1.3999E7,-1.491000776907831E8,-1.1257154155551087E7,14596.097733616005
1.4999E7,-1.444377826637569E8,-4.061008599731567E7,15186.94743557492
1.5999E7,-1.3413761661567582E8,-6.837007639647143E7,16497.15152423565
1.6999E7,-1.1862792091623233E8,-9.349749502050638E7,16024.930978045222
1.7999E7,-9.856840192216113E7,-1.1502267873026694E8,15084.882777555886
1.8999E7,-7.476233655267015E7,-1.3219143788749005E8,13714.118134450388
1.9999E7,-4.8119621085826956E7,-1.4435820717488155E8,10470.1051288486
2.0999E7,-1.9685782077052284E7,-1.5111307773830158E8,8043.018080179611
2.1999E7,9502740.090561995,-1.5222508059046927E8,3360.6822538609313
2.2999E7,3.832504566971521E7,-1.4765218061358607E8,-500.80661009807255
2.3999E7,6.572722900734365E7,-1.3759523375345033E8,-5292.375593392448
2.4999E7,9.068077447730151E7,-1.2238856620578274E8,-10337.152397762253
2.5999E7,1.1223176740788884E8,-1.0261672475357607E8,-14367.354406821942
2.6999E7,1.2957905195688339E8,-7.897884080225793E7,-19452.060844456246
2.7999E7,1.4200564585845694E8,-5.235188415353029E7,-22409.125013358655
2.8999E7,1.4903137216621086E8,-2.373789515356376E7,-25936.915498168968
2.9999E7,1.5031485216791523E8,5804398.961673479,-27587.35976428904
3.0999E7,1.4576080217235422E8,3.510324500598609E7,-28344.697094847066
3.1999E7,1.3549782130372205E8,6.304008623892386E7,-28382.7175276038
3.2999E7,1.198537537158452E8,8.84696833265827E7,-25960.856327803944
3.3999E7,9.943530540707646E7,1.1036297831130287E8,-23789.081777723437
3.4999E7,7.499153615616952E7,1.2781368968639402E8,-18751.483113967595
3.5999E7,4.7512610433261044E7,1.4005948376509458E8,-13839.971768263391
3.6999E7,1.809040690865457E7,1.466012501921147E8,-7528.583684705892
3.7999E7,-1.208065236788435E7,1.4711472844649604E8,-235.76108988505504
3.8999E7,-4.1742922216397606E7,1.4159415523779178E8,6328.209755106886
3.9999E7,-6.970930621329832E7,1.3025271445063096E8,14506.07280580126
4.0999E7,-9.480341059297726E7,1.1356596921336225E8,20783.81083381313
4.1999E7,-1.1604088446486445E8,9.225502634358758E7,27662.72299840424
4.2999E7,-1.3256791623536651E8,6.718193633735794E7,32898.34076156672
4.3999E7,-1.437534133678039E8,3.941796592704198E7,36808.39180066176
4.4999E7,-1.4921519731382066E8,1.0065206370306196E7,40030.57450783671
4.5999E7,-1.4876342291670927E8,-1.968352528877462E7,40346.10965501616
4.6999E7,-1.4250826884219176E8,-4.866085251453958E7,40472.740828092414
4.7999E7,-1.307216840126507E8,-7.576904622802165E7,37393.323929158156
4.8999E7,-1.1392799115787321E8,-9.995878381504777E7,33589.2638908086
4.9999E7,-9.280982414463478E7,-1.2037218376862085E8,27959.839696589905
5.0999E7,-6.818349192617057E7,-1.362412278328698E8,20414.846781607404
5.1999E7,-4.1022218941868775E7,-1.4702224341361824E8,13046.882785487904
5.2999E7,-1.2316314112912383E7,-1.5234008045702967E8,3224.987477984361
5.3999E7,1.6834220144174438E7,-1.5200397545861E8,-5509.251046313682
5.4999E7,4.5369706150198266E7,-1.4606521744964364E8,-15389.432486481097
5.5999E7,7.223218711406672E7,-1.347103079761632E8,-24655.798981175645
5.6999E7,9.64095142074913E7,-1.1838063565735306E8,-32692.305635630804
5.7999E7,1.1702138117365614E8,-9.764563484032223E7,-40829.96944672321
5.8999E7,1.3324515885176073E8,-7.326055248237422E7,-46043.034723729514
5.9999E7,1.4447148725955924E8,-4.613162765361572E7,-51016.86970583967
